test,avh4/elm-fifo,dwayne/elm-queue,folkertdev/elm-deque,kudzu-forest/elm-constant-time-queue,owanturist/elm-queue,robinheghan/elm-deque,turboMaCk/queue
isEmpty (empty queue),0.2272236622,0.2333477559,0.2333652932,0.2283886497,0.4231403649,0.2337564639,0.2359999509
isEmpty (small queue),0.2363859034,0.2303726572,0.229788626,0.2617640265,6.344021356,0.2598723406,0.3225203128
isEmpty (large queue),0.3480150275,0.2574023776,0.2586655697,0.2562436101,6.310982313,0.2651742399,0.2651742399
singleton,1.490635982,3.070082978,0.4287314203,7.058517768,0.257548217,0.2567994629,1.454006987
fromList (empty list),0.2574840278,0.2584805863,0.4282666381,0.2557119324,0.2547466092,0.2454561413,0.2456396869
fromList (small list),0.2570970528,0.2620920902,77.88538611,47.92446206,17.0116676,22.6090771,0.2574190247
fromList (large list),0.2521597488,0.2438250712,5187.932801,11929.51883,1402.210871,3257.596941,0.2517242779
toList (empty queue),1.211481276,1.209341956,0.2561722442,0.5919929324,0.2485764621,0.2518972183,1.172445037
toList (small queue),10.45315067,10.9151502,10.99184826,62.23328712,13.72817321,45.36977099,10.50467469
toList (large queue),986.5306126,1000.021511,972.1883994,16240.21188,1001.412985,3756.219717,989.9858644
enqueue (empty queue),0.2575863951,3.097125337,0.4198178025,6.803886378,0.2457546431,3.253942629,3.714232016
enqueue (small queue),0.2644895028,6.542691369,6.179268289,10.12635,0.2590233051,5.714523241,0.3761213291
enqueue (large queue),0.326872381,6.61174684,5.901206241,21.6305566,0.2605061168,8.342737219,0.2558646722
dequeue (empty queue),0.6044007908,0.2584304714,0.6292519853,0.6058859313,0.2524860677,4.058813147,0.5981849736
dequeue (small queue),0.2571424404,6.789349804,9.198267942,5.417021702,0.2574200532,7.697757025,0.256322435
dequeue (large queue),0.2589212031,6.446638517,9.160756017,5.454003531,0.2524470932,8.088929733,0.2385662584
length via toList (empty queue),7.055104173,7.735365349,0.2269333933,0.569901664,0.231415352,0.2290207809,6.711617644
length via toList (small queue),46.34991438,48.0230897,47.02819724,101.1717706,53.1201428,86.73089147,48.37349012
length via toList (large queue),3663.341561,3804.819693,3804.652864,19629.00883,3640.842591,6704.031339,3778.129967
length via dequeue (empty queue),12.02418391,13.88596521,11.21972332,12.78211966,11.70623317,14.2766613,12.2458772
length via dequeue (small queue),39.43810263,72.19504465,135.4940736,61.29704644,57.77308069,75.57978085,40.1183545
length via dequeue (large queue),2726.352015,6427.114505,9367.730376,13618.8982,4517.620345,6741.388647,3172.731679
length original (empty queue),,,0.2554639635,0.2594256589,0.2374017334,0.2249250941,12.71513833
length original (small queue),,,0.2539989687,2.330456521,0.2531510999,0.2550766057,42.39136491
length original (large queue),,,0.2541408968,10.02677963,0.256563834,0.2359760671,2733.703665
